#1
double table(8761,2)
#Time [s]	Q_flow [W]
0.000000000000000000e+00	1.086989393627792379e+04
3.600000000000000000e+03	1.180830479368900524e+04
7.200000000000000000e+03	1.135906543852193499e+04
1.080000000000000000e+04	1.128362282459287417e+04
1.440000000000000000e+04	1.105631791811003313e+04
1.800000000000000000e+04	1.063921073368892212e+04
2.160000000000000000e+04	1.787705771930347692e+04
2.520000000000000000e+04	1.699494787892385284e+04
2.880000000000000000e+04	1.807716102329075875e+04
3.240000000000000000e+04	1.608192318323476138e+04
3.600000000000000000e+04	1.472507282885361201e+04
3.960000000000000000e+04	1.421990146647338042e+04
4.320000000000000000e+04	1.413400733118935386e+04
4.680000000000000000e+04	1.379028567130386728e+04
5.040000000000000000e+04	1.490610683545168649e+04
5.400000000000000000e+04	1.597019355042043753e+04
5.760000000000000000e+04	1.637720333679565556e+04
6.120000000000000000e+04	1.601473372548407860e+04
6.480000000000000000e+04	1.668964612695710093e+04
6.840000000000000000e+04	1.663370750303562818e+04
7.200000000000000000e+04	1.641534196982228605e+04
7.560000000000000000e+04	1.684395653348674750e+04
7.920000000000000000e+04	1.203072550081792360e+04
8.280000000000000000e+04	1.353892305050240611e+04
8.640000000000000000e+04	1.395979897393600731e+04
9.000000000000000000e+04	1.414913238118562913e+04
9.360000000000000000e+04	1.411394450779488216e+04
9.720000000000000000e+04	1.333444932904614325e+04
1.008000000000000000e+05	1.319220056257240685e+04
1.044000000000000000e+05	1.276153688076943399e+04
1.080000000000000000e+05	1.783098628200442545e+04
1.116000000000000000e+05	1.808246187143348288e+04
1.152000000000000000e+05	1.841643684073650002e+04
1.188000000000000000e+05	1.828795342703622009e+04
1.224000000000000000e+05	1.661814527165148684e+04
1.260000000000000000e+05	1.677747514305402001e+04
1.296000000000000000e+05	1.512601430425195576e+04
1.332000000000000000e+05	1.487940629486010948e+04
1.368000000000000000e+05	1.483128926642123406e+04
1.404000000000000000e+05	1.363714136871682604e+04
1.440000000000000000e+05	1.453352402498615811e+04
1.476000000000000000e+05	1.369112222523515084e+04
1.512000000000000000e+05	1.351528255622370307e+04
1.548000000000000000e+05	1.388907609743863577e+04
1.584000000000000000e+05	1.283937967332680819e+04
1.620000000000000000e+05	1.332250003349556209e+04
1.656000000000000000e+05	8.214596063597713510e+03
1.692000000000000000e+05	7.136811181414029306e+03
1.728000000000000000e+05	7.085329593412934628e+03
1.764000000000000000e+05	6.460006141555066279e+03
1.800000000000000000e+05	5.945646584928505035e+03
1.836000000000000000e+05	6.799696614217908973e+03
1.872000000000000000e+05	7.220686414720903485e+03
1.908000000000000000e+05	7.925183796088835152e+03
1.944000000000000000e+05	1.556497604937156029e+04
1.980000000000000000e+05	1.445050561494218709e+04
2.016000000000000000e+05	1.592245359925837511e+04
2.052000000000000000e+05	1.448179107058939553e+04
2.088000000000000000e+05	1.363071256456350966e+04
2.124000000000000000e+05	1.262520393632495143e+04
2.160000000000000000e+05	1.217576504650692550e+04
2.196000000000000000e+05	1.323360184983042018e+04
2.232000000000000000e+05	1.300431006835165499e+04
2.268000000000000000e+05	1.204107086657890068e+04
2.304000000000000000e+05	1.438906197949312082e+04
2.340000000000000000e+05	1.609925674202132905e+04
2.376000000000000000e+05	1.487292275960730149e+04
2.412000000000000000e+05	1.473195329827157730e+04
2.448000000000000000e+05	1.514427521554707346e+04
2.484000000000000000e+05	1.515929449973134069e+04
2.520000000000000000e+05	9.503553983421401426e+03
2.556000000000000000e+05	9.661754688863647971e+03
2.592000000000000000e+05	9.394611923035854488e+03
2.628000000000000000e+05	9.504598665997065837e+03
2.664000000000000000e+05	9.424209930086886743e+03
2.700000000000000000e+05	9.424209930086886743e+03
2.736000000000000000e+05	9.265035571969790908e+03
2.772000000000000000e+05	8.905616272683260831e+03
2.808000000000000000e+05	1.579044297626949447e+04
2.844000000000000000e+05	1.391810101482621030e+04
2.880000000000000000e+05	1.303493532215549385e+04
2.916000000000000000e+05	1.421010249857778217e+04
2.952000000000000000e+05	1.252758392148838357e+04
2.988000000000000000e+05	1.279574667203861281e+04
3.024000000000000000e+05	1.255049583275857003e+04
3.060000000000000000e+05	1.209810776776036801e+04
3.096000000000000000e+05	1.147187313481005185e+04
3.132000000000000000e+05	1.241322279502128004e+04
3.168000000000000000e+05	1.368547618670108750e+04
3.204000000000000000e+05	1.438766310459835040e+04
3.240000000000000000e+05	1.516836981462701260e+04
3.276000000000000000e+05	1.566337925615505810e+04
3.312000000000000000e+05	1.552778797409335311e+04
3.348000000000000000e+05	1.580551777657459024e+04
3.384000000000000000e+05	9.740611914694634834e+03
3.420000000000000000e+05	1.044301431021914505e+04
3.456000000000000000e+05	1.185583478492558970e+04
3.492000000000000000e+05	1.120801736654787055e+04
3.528000000000000000e+05	1.128605191882657527e+04
3.564000000000000000e+05	1.113224906671913413e+04
3.600000000000000000e+05	1.105631791811003313e+04
3.636000000000000000e+05	1.138675753001816520e+04
3.672000000000000000e+05	1.834092746757659916e+04
3.708000000000000000e+05	1.870435624714983351e+04
3.744000000000000000e+05	1.834987552342457639e+04
3.780000000000000000e+05	1.899587019114144641e+04
3.816000000000000000e+05	1.662968880532510957e+04
3.852000000000000000e+05	1.605763969020447439e+04
3.888000000000000000e+05	1.379028567130386728e+04
3.924000000000000000e+05	1.379787335538440857e+04
3.960000000000000000e+05	1.349972032507278709e+04
3.996000000000000000e+05	1.382448329271339571e+04
4.032000000000000000e+05	1.544499002280722561e+04
4.068000000000000000e+05	1.689338023366287598e+04
4.104000000000000000e+05	1.612252615634363792e+04
4.140000000000000000e+05	1.556454235587124458e+04
4.176000000000000000e+05	1.540526458273819662e+04
4.212000000000000000e+05	1.588831505175351413e+04
4.248000000000000000e+05	1.016501584561514210e+04
4.284000000000000000e+05	1.062987234424521739e+04
4.320000000000000000e+05	1.077348057483754565e+04
4.356000000000000000e+05	1.044301431021914505e+04
4.392000000000000000e+05	1.008242331857568570e+04
4.428000000000000000e+05	9.897837831676561109e+03
4.464000000000000000e+05	9.674413155659682161e+03
4.500000000000000000e+05	1.096816691212726801e+04
4.536000000000000000e+05	1.649609172908983965e+04
4.572000000000000000e+05	1.719262168205691341e+04
4.608000000000000000e+05	1.856454331720752816e+04
4.644000000000000000e+05	1.850741019004235204e+04
4.680000000000000000e+05	1.516017434445610706e+04
4.716000000000000000e+05	1.496610540008939279e+04
4.752000000000000000e+05	1.384920948226790279e+04
4.788000000000000000e+05	1.339364050181017774e+04
4.824000000000000000e+05	1.398939799477469023e+04
4.860000000000000000e+05	1.458200489145469692e+04
4.896000000000000000e+05	1.434464795824363682e+04
4.932000000000000000e+05	1.411574172275665114e+04
4.968000000000000000e+05	1.405100835046997963e+04
5.004000000000000000e+05	1.417076726355315805e+04
5.040000000000000000e+05	1.392366979592675852e+04
5.076000000000000000e+05	1.419028993711506700e+04
5.112000000000000000e+05	9.185205264854997949e+03
5.148000000000000000e+05	1.022413732387754499e+04
5.184000000000000000e+05	1.111919311610307341e+04
5.220000000000000000e+05	1.148964186497072296e+04
5.256000000000000000e+05	1.120801736654787055e+04
5.292000000000000000e+05	1.068899382250762028e+04
5.328000000000000000e+05	1.070288002891853830e+04
5.364000000000000000e+05	1.076590089769471706e+04
5.400000000000000000e+05	1.681059978979840162e+04
5.436000000000000000e+05	1.888771701802559255e+04
5.472000000000000000e+05	1.818432289264607607e+04
5.508000000000000000e+05	1.878459238370565799e+04
5.544000000000000000e+05	1.563135569821779791e+04
5.580000000000000000e+05	1.463757811056893843e+04
5.616000000000000000e+05	1.348304003277164520e+04
5.652000000000000000e+05	1.269695962690629131e+04
5.688000000000000000e+05	1.275296999422108456e+04
5.724000000000000000e+05	1.209709080550998988e+04
5.760000000000000000e+05	1.508415594046950173e+04
5.796000000000000000e+05	1.582096566654665548e+04
5.832000000000000000e+05	1.422697392771404702e+04
