#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	        9681
         900	        7261
        1800	        8471
        2700	        8471
        3600	        9681
        4500	        9681
        5400	        7261
        6300	        7261
        7200	        9681
        8100	        8471
        9000	        6051
        9900	        8471
       10800	        8471
       11700	        8471
       12600	        9681
       13500	        8471
       14400	        7261
       15300	        7261
       16200	        8471
       17100	        8471
       18000	        8471
       18900	        7261
       19800	        7261
       20700	        8471
       21600	        8471
       22500	        8471
       23400	        9681
       24300	       10891
       25200	        8471
       26100	        7261
       27000	        9681
       27900	       12101
       28800	       10891
       29700	        9681
       30600	       10891
       31500	        9681
       32400	        9681
       33300	       10891
       34200	        9681
       35100	        8471
       36000	        9681
       36900	       12101
       37800	       10891
       38700	        9681
       39600	       10891
       40500	        9681
       41400	        9681
       42300	       12101
       43200	       12101
       44100	       14521
       45000	       13311
       45900	        8471
       46800	        8471
       47700	       10891
       48600	       13311
       49500	        9681
       50400	        4840
       51300	        4840
       52200	        9681
       53100	       15732
       54000	       15732
       54900	       13311
       55800	       13311
       56700	       13311
       57600	       13311
       58500	       12101
       59400	        9681
       60300	        9681
       61200	        8471
       62100	        9681
       63000	       10891
       63900	        9681
       64800	       10891
       65700	       10891
       66600	        9681
       67500	       10891
       68400	        9681
       69300	        8471
       70200	        9681
       71100	        9681
       72000	        9681
       72900	        9681
       73800	        9681
       74700	        8471
       75600	        8471
       76500	        9681
       77400	        8471
       78300	        7261
       79200	        9681
       80100	        9681
       81000	        9681
       81900	        9681
       82800	        7261
       83700	        7261
       84600	        9681
       85500	        9681
       86400	        7261
       87300	        8471
       88200	        8471
       89100	        8471
       90000	        9681
       90900	        8471
       91800	        8471
       92700	       10891
       93600	       10891
       94500	        8471
       95400	        8471
       96300	        9681
       97200	        8471
       98100	        7261
       99000	        7261
       99900	        7261
      100800	        9681
      101700	        9681
      102600	        9681
      103500	        9681
      104400	        8471
      105300	        9681
      106200	        9681
      107100	        9681
      108000	        8471
      108900	        8471
      109800	        8471
      110700	        7261
      111600	        9681
      112500	        9681
      113400	        8471
      114300	        9681
      115200	        9681
      116100	       12101
      117000	       12101
      117900	       10891
      118800	       12101
      119700	        9681
      120600	        9681
      121500	       12101
      122400	        9681
      123300	        9681
      124200	       12101
      125100	       10891
      126000	        9681
      126900	        7261
      127800	        3630
      128700	        6051
      129600	        8471
      130500	        9681
      131400	       12101
      132300	       12101
      133200	       10891
      134100	       10891
      135000	       10891
      135900	       10891
      136800	       10891
      137700	        7261
      138600	        3630
      139500	        7261
      140400	       12101
      141300	       13311
      142200	       14521
      143100	       16942
      144000	       21782
      144900	       16942
      145800	       10891
      146700	       12101
      147600	        9681
      148500	        6051
      149400	        7261
      150300	        7261
      151200	        1210
      152100	        3630
      153000	        9681
      153900	       10891
      154800	       10891
      155700	       10891
      156600	        8471
      157500	        4840
      158400	        8471
      159300	       13311
      160200	       14521
      161100	       13311
      162000	       15732
      162900	       20572
      163800	       20572
      164700	       19362
      165600	       18152
      166500	       14521
      167400	       14521
      168300	       15732
      169200	       14521
      170100	       13311
      171000	       12101
      171900	        9681
      172800	        8471
      173700	       10891
      174600	        8471
      175500	        6051
      176400	       12101
      177300	       18152
      178200	       16942
      179100	       13311
      180000	       14521
      180900	       15732
      181800	       13311
      182700	       13311
      183600	       14521
      184500	       13311
      185400	       12101
      186300	       13311
      187200	       14521
      188100	       14521
      189000	       13311
      189900	       13311
      190800	       13311
      191700	       12101
      192600	       13311
      193500	       13311
      194400	       14521
      195300	       14521
      196200	       12101
      197100	       12101
      198000	       10891
      198900	       12101
      199800	       14521
      200700	       19362
      201600	       25413
      202500	       24202
      203400	       19362
      204300	       19362
      205200	       19362
      206100	       12101
      207000	        9681
      207900	       10891
      208800	       10891
      209700	       13311
      210600	       15732
      211500	       10891
      212400	        9681
      213300	       19362
      214200	       22992
      215100	       22992
      216000	       22992
      216900	       20572
      217800	       18152
      218700	       15732
      219600	       14521
      220500	       16942
      221400	       15732
      222300	       14521
      223200	       16942
      224100	       16942
      225000	       16942
      225900	       18152
      226800	       18152
      227700	       15732
      228600	       15732
      229500	       16942
      230400	       16942
      231300	       15732
      232200	       14521
      233100	       14521
      234000	       15732
      234900	       16942
      235800	       15732
      236700	       14521
      237600	       14521
      238500	       15732
      239400	       15732
      240300	       14521
      241200	       12101
      242100	       10891
      243000	        9681
      243900	        9681
      244800	       13311
      245700	       13311
      246600	       13311
      247500	       15732
      248400	       14521
      249300	        8471
      250200	        8471
      251100	       15732
      252000	       18152
      252900	       20572
      253800	       24202
      254700	       21782
      255600	       18152
      256500	       15732
      257400	       14521
      258300	       14521
      259200	       15732
      260100	       14521
      261000	       13311
      261900	       12101
      262800	        9681
      263700	       10891
      264600	        9681
      265500	        9681
      266400	       10891
      267300	       10891
      268200	       14521
      269100	       15732
      270000	       14521
      270900	       13311
      271800	       13311
      272700	       13311
      273600	       12101
      274500	       15732
      275400	       16942
      276300	       14521
      277200	       15732
      278100	       16942
      279000	       15732
      279900	       13311
      280800	       13311
      281700	       13311
      282600	       12101
      283500	       12101
      284400	       13311
      285300	       15732
      286200	       15732
      287100	       15732
      288000	       14521
      288900	       10891
      289800	       14521
      290700	       21782
      291600	       25413
      292500	       26623
      293400	       22992
      294300	       16942
      295200	       15732
      296100	       18152
      297000	       15732
      297900	       14521
      298800	       18152
      299700	       18152
      300600	       14521
      301500	       15732
      302400	       16942
      303300	       13311
      304200	       13311
      305100	       14521
      306000	       15732
      306900	       18152
      307800	       14521
      308700	       13311
      309600	       15732
      310500	       15732
      311400	       15732
      312300	       15732
      313200	       14521
      314100	       13311
      315000	       14521
      315900	       14521
      316800	       16942
      317700	       15732
      318600	       12101
      319500	       14521
      320400	       15732
      321300	       14521
      322200	       15732
      323100	       16942
      324000	       13311
      324900	        9681
      325800	       10891
      326700	        9681
      327600	        9681
      328500	       10891
      329400	       13311
      330300	       13311
      331200	       12101
      332100	       13311
      333000	       12101
      333900	       13311
      334800	       14521
      335700	        9681
      336600	        8471
      337500	       13311
      338400	       15732
      339300	       16942
      340200	       15732
      341100	       15732
      342000	       15732
      342900	       13311
      343800	       14521
      344700	       14521
      345600	       13311
      346500	       13311
      347400	       14521
      348300	       14521
      349200	       13311
      350100	       14521
      351000	       10891
      351900	        8471
      352800	       13311
      353700	       16942
      354600	       16942
      355500	       20572
      356400	       21782
      357300	       18152
      358200	       16942
      359100	       14521
      360000	       12101
      360900	       12101
      361800	        8471
      362700	        8471
      363600	       12101
      364500	       12101
      365400	       12101
      366300	       12101
      367200	        7261
      368100	        9681
      369000	       16942
      369900	       15732
      370800	       16942
      371700	       15732
      372600	       12101
      373500	       13311
      374400	       15732
      375300	       15732
      376200	       13311
      377100	       14521
      378000	       12101
      378900	       10891
      379800	       13311
      380700	       14521
      381600	       15732
      382500	       13311
      383400	       13311
      384300	       12101
      385200	       12101
      386100	       13311
      387000	       13311
      387900	       14521
      388800	       14521
      389700	       14521
      390600	       13311
      391500	       12101
      392400	       14521
      393300	       14521
      394200	       14521
      395100	       12101
      396000	        8471
      396900	       12101
      397800	       15732
      398700	       19362
      399600	       24202
      400500	       21782
      401400	       16942
      402300	       15732
      403200	       15732
      404100	       14521
      405000	       12101
      405900	        9681
      406800	        7261
      407700	        8471
      408600	       10891
      409500	       12101
      410400	       14521
      411300	       14521
      412200	       12101
      413100	        7261
      414000	        9681
      414900	       16942
      415800	       15732
      416700	       15732
      417600	       16942
      418500	       14521
      419400	       13311
      420300	       13311
      421200	       12101
      422100	       14521
      423000	       15732
      423900	       10891
      424800	        7261
      425700	       12101
      426600	       16942
      427500	       15732
      428400	       15732
      429300	       14521
      430200	       12706
      431100	       13311
      432000	       15127
      432900	       14521
      433800	       13311
      434700	       14521
      435600	       14521
      436500	       14521
      437400	       13311
      438300	       13311
      439200	       13311
      440100	        8471
      441000	        9681
      441900	       16942
      442800	       16942
      443700	       18152
      444600	       22992
      445500	       22992
      446400	       19362
      447300	       15732
      448200	       14521
      449100	       13311
      450000	       14521
      450900	       12101
      451800	        9681
      452700	        9681
      453600	        8471
      454500	       12101
      455400	       12101
      456300	       12101
      457200	       13311
      458100	        9681
      459000	        9681
      459900	       14521
      460800	       16942
      461700	       15732
      462600	       14521
      463500	       14521
      464400	       15732
      465300	       15732
      466200	       13311
      467100	       13311
      468000	       14521
      468900	       14521
      469800	       13311
      470700	       14521
      471600	       13311
      472500	       13311
      473400	       14521
      474300	       13311
      475200	       13311
      476100	       14521
      477000	       13311
