#1
double table(35041,2)
# Time[s]	Q_flow[W]
           0	       35204
         900	       26403
        1800	       30803
        2700	       30803
        3600	       35204
        4500	       35204
        5400	       26403
        6300	       26403
        7200	       35204
        8100	       30803
        9000	       22002
        9900	       30803
       10800	       30803
       11700	       30803
       12600	       35204
       13500	       30803
       14400	       26403
       15300	       26403
       16200	       30803
       17100	       30803
       18000	       30803
       18900	       26403
       19800	       26403
       20700	       30803
       21600	       30803
       22500	       30803
       23400	       35204
       24300	       39604
       25200	       30803
       26100	       26403
       27000	       35204
       27900	       44004
       28800	       39604
       29700	       35204
       30600	       39604
       31500	       35204
       32400	       35204
       33300	       39604
       34200	       35204
       35100	       30803
       36000	       35204
       36900	       44004
       37800	       39604
       38700	       35204
       39600	       39604
       40500	       35204
       41400	       35204
       42300	       44004
       43200	       44004
       44100	       52805
       45000	       48405
       45900	       30803
       46800	       30803
       47700	       39604
       48600	       48405
       49500	       35204
       50400	       17602
       51300	       17602
       52200	       35204
       53100	       57206
       54000	       57206
       54900	       48405
       55800	       48405
       56700	       48405
       57600	       48405
       58500	       44004
       59400	       35204
       60300	       35204
       61200	       30803
       62100	       35204
       63000	       39604
       63900	       35204
       64800	       39604
       65700	       39604
       66600	       35204
       67500	       39604
       68400	       35204
       69300	       30803
       70200	       35204
       71100	       35204
       72000	       35204
       72900	       35204
       73800	       35204
       74700	       30803
       75600	       30803
       76500	       35204
       77400	       30803
       78300	       26403
       79200	       35204
       80100	       35204
       81000	       35204
       81900	       35204
       82800	       26403
       83700	       26403
       84600	       35204
       85500	       35204
       86400	       26403
       87300	       30803
       88200	       30803
       89100	       30803
       90000	       35204
       90900	       30803
       91800	       30803
       92700	       39604
       93600	       39604
       94500	       30803
       95400	       30803
       96300	       35204
       97200	       30803
       98100	       26403
       99000	       26403
       99900	       26403
      100800	       35204
      101700	       35204
      102600	       35204
      103500	       35204
      104400	       30803
      105300	       35204
      106200	       35204
      107100	       35204
      108000	       30803
      108900	       30803
      109800	       30803
      110700	       26403
      111600	       35204
      112500	       35204
      113400	       30803
      114300	       35204
      115200	       35204
      116100	       44004
      117000	       44004
      117900	       39604
      118800	       44004
      119700	       35204
      120600	       35204
      121500	       44004
      122400	       35204
      123300	       35204
      124200	       44004
      125100	       39604
      126000	       35204
      126900	       26403
      127800	       13201
      128700	       22002
      129600	       30803
      130500	       35204
      131400	       44004
      132300	       44004
      133200	       39604
      134100	       39604
      135000	       39604
      135900	       39604
      136800	       39604
      137700	       26403
      138600	       13201
      139500	       26403
      140400	       44004
      141300	       48405
      142200	       52805
      143100	       61606
      144000	       79208
      144900	       61606
      145800	       39604
      146700	       44004
      147600	       35204
      148500	       22002
      149400	       26403
      150300	       26403
      151200	        4400
      152100	       13201
      153000	       35204
      153900	       39604
      154800	       39604
      155700	       39604
      156600	       30803
      157500	       17602
      158400	       30803
      159300	       48405
      160200	       52805
      161100	       48405
      162000	       57206
      162900	       74807
      163800	       74807
      164700	       70407
      165600	       66007
      166500	       52805
      167400	       52805
      168300	       57206
      169200	       52805
      170100	       48405
      171000	       44004
      171900	       35204
      172800	       30803
      173700	       39604
      174600	       30803
      175500	       22002
      176400	       44004
      177300	       66007
      178200	       61606
      179100	       48405
      180000	       52805
      180900	       57206
      181800	       48405
      182700	       48405
      183600	       52805
      184500	       48405
      185400	       44004
      186300	       48405
      187200	       52805
      188100	       52805
      189000	       48405
      189900	       48405
      190800	       48405
      191700	       44004
      192600	       48405
      193500	       48405
      194400	       52805
      195300	       52805
      196200	       44004
      197100	       44004
      198000	       39604
      198900	       44004
      199800	       52805
      200700	       70407
      201600	       92409
      202500	       88009
      203400	       70407
      204300	       70407
      205200	       70407
      206100	       44004
      207000	       35204
      207900	       39604
      208800	       39604
      209700	       48405
      210600	       57206
      211500	       39604
      212400	       35204
      213300	       70407
      214200	       83608
      215100	       83608
      216000	       83608
      216900	       74807
      217800	       66007
      218700	       57206
      219600	       52805
      220500	       61606
      221400	       57206
      222300	       52805
      223200	       61606
      224100	       61606
      225000	       61606
      225900	       66007
      226800	       66007
      227700	       57206
      228600	       57206
      229500	       61606
      230400	       61606
      231300	       57206
      232200	       52805
      233100	       52805
      234000	       57206
      234900	       61606
      235800	       57206
      236700	       52805
      237600	       52805
      238500	       57206
      239400	       57206
      240300	       52805
      241200	       44004
      242100	       39604
      243000	       35204
      243900	       35204
      244800	       48405
      245700	       48405
      246600	       48405
      247500	       57206
      248400	       52805
      249300	       30803
      250200	       30803
      251100	       57206
      252000	       66007
      252900	       74807
      253800	       88009
      254700	       79208
      255600	       66007
      256500	       57206
      257400	       52805
      258300	       52805
      259200	       57206
      260100	       52805
      261000	       48405
      261900	       44004
      262800	       35204
      263700	       39604
      264600	       35204
      265500	       35204
      266400	       39604
      267300	       39604
      268200	       52805
      269100	       57206
      270000	       52805
      270900	       48405
      271800	       48405
      272700	       48405
      273600	       44004
      274500	       57206
      275400	       61606
      276300	       52805
      277200	       57206
      278100	       61606
      279000	       57206
      279900	       48405
      280800	       48405
      281700	       48405
      282600	       44004
      283500	       44004
      284400	       48405
      285300	       57206
      286200	       57206
      287100	       57206
      288000	       52805
      288900	       39604
      289800	       52805
      290700	       79208
      291600	       92409
      292500	       96810
      293400	       83608
      294300	       61606
      295200	       57206
      296100	       66007
      297000	       57206
      297900	       52805
      298800	       66007
      299700	       66007
      300600	       52805
      301500	       57206
      302400	       61606
      303300	       48405
      304200	       48405
      305100	       52805
      306000	       57206
      306900	       66007
      307800	       52805
      308700	       48405
      309600	       57206
      310500	       57206
      311400	       57206
      312300	       57206
      313200	       52805
      314100	       48405
      315000	       52805
      315900	       52805
      316800	       61606
      317700	       57206
      318600	       44004
      319500	       52805
      320400	       57206
      321300	       52805
      322200	       57206
      323100	       61606
      324000	       48405
      324900	       35204
      325800	       39604
      326700	       35204
      327600	       35204
      328500	       39604
      329400	       48405
      330300	       48405
      331200	       44004
      332100	       48405
      333000	       44004
      333900	       48405
      334800	       52805
      335700	       35204
      336600	       30803
      337500	       48405
      338400	       57206
      339300	       61606
      340200	       57206
      341100	       57206
      342000	       57206
      342900	       48405
      343800	       52805
      344700	       52805
      345600	       48405
      346500	       48405
      347400	       52805
      348300	       52805
      349200	       48405
      350100	       52805
      351000	       39604
      351900	       30803
      352800	       48405
      353700	       61606
      354600	       61606
      355500	       74807
      356400	       79208
      357300	       66007
      358200	       61606
      359100	       52805
      360000	       44004
