#1
double table(8761,2)
# Time [s]	Q_flow [W]
0.000000000000000000e+00 3.623297978759307625e+03
3.600000000000000000e+03 3.936101597896334624e+03
7.200000000000000000e+03 3.786355146173978028e+03
1.080000000000000000e+04 3.761207608197624722e+03
1.440000000000000000e+04 3.685439306036677408e+03
1.800000000000000000e+04 3.546403577896307070e+03
2.160000000000000000e+04 5.959019239767825638e+03
2.520000000000000000e+04 5.664982626307950341e+03
2.880000000000000000e+04 6.025720341096919583e+03
3.240000000000000000e+04 5.360641061078254097e+03
3.600000000000000000e+04 4.908357609617870366e+03
3.960000000000000000e+04 4.739967155491126505e+03
4.320000000000000000e+04 4.711335777063118258e+03
4.680000000000000000e+04 4.596761890434622728e+03
5.040000000000000000e+04 4.968702278483895498e+03
5.400000000000000000e+04 5.323397850140146147e+03
5.760000000000000000e+04 5.459067778931885186e+03
6.120000000000000000e+04 5.338244575161359535e+03
6.480000000000000000e+04 5.563215375652367584e+03
6.840000000000000000e+04 5.544569167678542726e+03
7.200000000000000000e+04 5.471780656607428682e+03
7.560000000000000000e+04 5.614652177828916138e+03
7.920000000000000000e+04 4.010241833605974534e+03
8.280000000000000000e+04 4.512974350167468401e+03
8.640000000000000000e+04 4.653266324645335771e+03
9.000000000000000000e+04 4.716377460395209710e+03
9.360000000000000000e+04 4.704648169264960416e+03
9.720000000000000000e+04 4.444816443015381083e+03
1.008000000000000000e+05 4.397400187524135617e+03
1.044000000000000000e+05 4.253845626923144664e+03
1.080000000000000000e+05 5.943662094001475452e+03
1.116000000000000000e+05 6.027487290477827628e+03
1.152000000000000000e+05 6.138812280245500006e+03
1.188000000000000000e+05 6.095984475678739727e+03
1.224000000000000000e+05 5.539381757217161976e+03
1.260000000000000000e+05 5.592491714351339397e+03
1.296000000000000000e+05 5.042004768083985255e+03
1.332000000000000000e+05 4.959802098286702858e+03
1.368000000000000000e+05 4.943763088807078020e+03
1.404000000000000000e+05 4.545713789572275346e+03
1.440000000000000000e+05 4.844508008328719370e+03
1.476000000000000000e+05 4.563707408411716642e+03
1.512000000000000000e+05 4.505094185407901023e+03
1.548000000000000000e+05 4.629692032479545560e+03
1.584000000000000000e+05 4.279793224442269093e+03
1.620000000000000000e+05 4.440833344498521001e+03
1.656000000000000000e+05 2.738198687865904049e+03
1.692000000000000000e+05 2.378937060471343102e+03
1.728000000000000000e+05 2.361776531137644724e+03
1.764000000000000000e+05 2.153335380518355578e+03
1.800000000000000000e+05 1.981882194976168421e+03
1.836000000000000000e+05 2.266565538072636173e+03
1.872000000000000000e+05 2.406895471573634495e+03
1.908000000000000000e+05 2.641727932029611566e+03
1.944000000000000000e+05 5.188325349790519795e+03
1.980000000000000000e+05 4.816835204980729031e+03
2.016000000000000000e+05 5.307484533086125339e+03
2.052000000000000000e+05 4.827263690196465177e+03
2.088000000000000000e+05 4.543570854854503523e+03
2.124000000000000000e+05 4.208401312108317143e+03
2.160000000000000000e+05 4.058588348835641682e+03
2.196000000000000000e+05 4.411200616610140059e+03
2.232000000000000000e+05 4.334770022783884997e+03
2.268000000000000000e+05 4.013690288859633711e+03
2.304000000000000000e+05 4.796353993164373605e+03
2.340000000000000000e+05 5.366418914007109379e+03
2.376000000000000000e+05 4.957640919869100799e+03
2.412000000000000000e+05 4.910651099423858795e+03
2.448000000000000000e+05 5.048091738515690849e+03
2.484000000000000000e+05 5.053098166577113261e+03
2.520000000000000000e+05 3.167851327807133657e+03
2.556000000000000000e+05 3.220584896287882657e+03
2.592000000000000000e+05 3.131537307678617708e+03
2.628000000000000000e+05 3.168199555332355430e+03
2.664000000000000000e+05 3.141403310028962551e+03
2.700000000000000000e+05 3.141403310028962551e+03
2.736000000000000000e+05 3.088345190656596515e+03
2.772000000000000000e+05 2.968538757561086641e+03
2.808000000000000000e+05 5.263480992089831489e+03
2.844000000000000000e+05 4.639367004942069798e+03
2.880000000000000000e+05 4.344978440718497950e+03
2.916000000000000000e+05 4.736700832859261027e+03
2.952000000000000000e+05 4.175861307162794219e+03
2.988000000000000000e+05 4.265248890679537908e+03
3.024000000000000000e+05 4.183498610919523344e+03
3.060000000000000000e+05 4.032702589253456154e+03
3.096000000000000000e+05 3.823957711603350617e+03
3.132000000000000000e+05 4.137740931673760315e+03
3.168000000000000000e+05 4.561825395567028863e+03
3.204000000000000000e+05 4.795887701532783467e+03
3.240000000000000000e+05 5.056123271542337534e+03
3.276000000000000000e+05 5.221126418718352397e+03
3.312000000000000000e+05 5.175929324697784068e+03
3.348000000000000000e+05 5.268505925524863414e+03
3.384000000000000000e+05 3.246870638231544945e+03
3.420000000000000000e+05 3.481004770073048348e+03
3.456000000000000000e+05 3.951944928308530052e+03
3.492000000000000000e+05 3.736005788849290184e+03
3.528000000000000000e+05 3.762017306275525243e+03
3.564000000000000000e+05 3.710749688906377742e+03
3.600000000000000000e+05 3.685439306036677408e+03
3.636000000000000000e+05 3.795585843339388703e+03
3.672000000000000000e+05 6.113642489192198809e+03
3.708000000000000000e+05 6.234785415716611169e+03
3.744000000000000000e+05 6.116625174474858795e+03
3.780000000000000000e+05 6.331956730380482441e+03
3.816000000000000000e+05 5.543229601775035917e+03
3.852000000000000000e+05 5.352546563401490857e+03
3.888000000000000000e+05 4.596761890434622728e+03
3.924000000000000000e+05 4.599291118461469523e+03
3.960000000000000000e+05 4.499906775024262060e+03
3.996000000000000000e+05 4.608161097571131904e+03
4.032000000000000000e+05 5.148330007602408841e+03
4.068000000000000000e+05 5.631126744554292600e+03
4.104000000000000000e+05 5.374175385447879307e+03
4.140000000000000000e+05 5.188180785290414860e+03
4.176000000000000000e+05 5.135088194246065541e+03
4.212000000000000000e+05 5.296105017251171375e+03
4.248000000000000000e+05 3.388338615205047518e+03
4.284000000000000000e+05 3.543290781415072615e+03
4.320000000000000000e+05 3.591160191612515064e+03
4.356000000000000000e+05 3.481004770073048348e+03
4.392000000000000000e+05 3.360807772858561748e+03
4.428000000000000000e+05 3.299279277225520218e+03
4.464000000000000000e+05 3.224804385219893902e+03
4.500000000000000000e+05 3.656055637375755850e+03
4.536000000000000000e+05 5.498697243029946549e+03
4.572000000000000000e+05 5.730873894018970532e+03
4.608000000000000000e+05 6.188181105735842721e+03
4.644000000000000000e+05 6.169136730014117347e+03
4.680000000000000000e+05 5.053391448152035991e+03
4.716000000000000000e+05 4.988701800029797596e+03
4.752000000000000000e+05 4.616403160755967292e+03
4.788000000000000000e+05 4.464546833936726216e+03
4.824000000000000000e+05 4.663132664924896744e+03
4.860000000000000000e+05 4.860668297151565639e+03
4.896000000000000000e+05 4.781549319414545607e+03
4.932000000000000000e+05 4.705247240918884017e+03
4.968000000000000000e+05 4.683669450156659877e+03
5.004000000000000000e+05 4.723589087851052682e+03
5.040000000000000000e+05 4.641223265308919508e+03
5.076000000000000000e+05 4.730096645705022638e+03
5.112000000000000000e+05 3.061735088284999165e+03
5.148000000000000000e+05 3.408045774625848480e+03
5.184000000000000000e+05 3.706397705367691287e+03
5.220000000000000000e+05 3.829880621656907351e+03
5.256000000000000000e+05 3.736005788849290184e+03
5.292000000000000000e+05 3.562997940835873578e+03
5.328000000000000000e+05 3.567626676306179434e+03
5.364000000000000000e+05 3.588633632564905383e+03
5.400000000000000000e+05 5.603533263266133872e+03
5.436000000000000000e+05 6.295905672675196911e+03
5.472000000000000000e+05 6.061440964215358690e+03
5.508000000000000000e+05 6.261530794568552665e+03
5.544000000000000000e+05 5.210451899405932636e+03
5.580000000000000000e+05 4.879192703522979173e+03
5.616000000000000000e+05 4.494346677590548097e+03
5.652000000000000000e+05 4.232319875635430435e+03
5.688000000000000000e+05 4.250989998073694551e+03
5.724000000000000000e+05 4.032363601836663292e+03
5.760000000000000000e+05 5.028051980156500576e+03
5.796000000000000000e+05 5.273655222182218495e+03
5.832000000000000000e+05 4.742324642571348704e+03
5.868000000000000000e+05 4.862354998842467467e+03
5.904000000000000000e+05 4.971230901769116826e+03
5.940000000000000000e+05 4.773169309992726085e+03
5.976000000000000000e+05 4.556934398587615760e+03
6.012000000000000000e+05 3.836487755828490663e+03
6.048000000000000000e+05 3.791766929981596604e+03
